"glotto.code","glotto.name","glotto.family","area"
"sioo1240","Sio","Austronesian","N Coast New Guinea"
"apal1257","Apalaí","Cariban","NE South America"
"mand1436","Mandinka","Mande","African Savannah"
"kxoe1243","Kxoe","Khoe-Kwadi","S Africa"
"wuzl1236","Wuzlam","Afro-Asiatic","African Savannah"
"adio1239","Adioukrou","Atlantic-Congo","African Savannah"
"haya1250","Haya","Atlantic-Congo","S Africa"
"moki1238","Mokilese","Austronesian","Oceania"
"obol1243","Obolo","Atlantic-Congo","African Savannah"
"acol1236","Acoli","Nilotic","S Africa"
"sina1266","Sinaugoro","Austronesian","S New Guinea"
"ndut1239","Ndut","Atlantic-Congo","African Savannah"
"mapu1245","Mapudungun","Araucanian","Andean"
"maun1240","Maung","Iwaidjan Proper","N Australia"
"bafu1246","Bafut","Atlantic-Congo","African Savannah"
"kups1238","Kupsabiny","Nilotic","S Africa"
"keng1240","Kenga","Central Sudanic","African Savannah"
"amel1241","Amele","Nuclear Trans New Guinea","N Coast New Guinea"
"tupu1244","Tupuri","Atlantic-Congo","African Savannah"
"bata1293","Batak Karo","Austronesian","Southeast Asia"
"jara1263","Jarawa (Nigeria)","Atlantic-Congo","African Savannah"
"zarm1239","Zarma","Songhay","African Savannah"
"ango1254","Angor","Senagi","N Coast New Guinea"
"kunb1251","Kunbarlang","Gunwinyguan","N Australia"
"juku1254","Jukun Takum","Atlantic-Congo","African Savannah"
"east2347","Eastern Tamang","Sino-Tibetan","Indic"
"tenn1246","Tennet","Surmic","African Savannah"
"youn1235","Younuo Bunu","Hmong-Mien","African Savannah"
"turk1304","Turkmen","Turkic","Inner Asia"
"mehr1241","Mehri","Afro-Asiatic","Greater Mesopotamia"
"tuva1244","Tuvalu","Austronesian","Oceania"
"komi1268","Komi-Zyrian","Uralic","Inner Asia"
"mats1244","Matsés","Panoan","NE South America"
"kola1242","Kolami-Naiki","Dravidian","Indic"
"west2500","Western Maninkakan","Mande","African Savannah"
"chec1245","Chechen","Nakh-Daghestanian","Greater Mesopotamia"
"alam1246","Alamblak","Sepik","N Coast New Guinea"
"kera1255","Kera","Afro-Asiatic","African Savannah"
"siro1249","Siroi","Nuclear Trans New Guinea","N Coast New Guinea"
"ilaa1246","Ila","Atlantic-Congo","S Africa"
"makh1264","Makhuwa","Atlantic-Congo","S Africa"
"mand1446","Mandan","Siouan","Basin and Plains"
"bili1260","Bilin","Afro-Asiatic","Greater Abyssinia"
"desa1247","Desano","Tucanoan","NE South America"
"yoku1256","Yokuts","Yokutsan","California"
"seda1262","Sedang","Austroasiatic","Southeast Asia"
"ndon1254","Ndonga","Atlantic-Congo","S Africa"
"kory1246","Koryak","Chukotko-Kamchatkan","N Coast Asia"
"dhim1246","Dhimal","Sino-Tibetan","Indic"
"dhar1247","Dhargari","Pama-Nyungan","S Australia"
"nucl1593","Nuclear Kwomtari","Kwomtari","N Coast New Guinea"
"taab1238","Taabwa","Atlantic-Congo","S Africa"
"amas1236","Ama (Sudan)","Nyimang","African Savannah"
"taba1266","Tabasco Chontal","Mayan","Mesoamerica"
"bara1377","Barai","Koiarian","S Africa"
"ayiw1239","Ayiwo","Austronesian","Oceania"
"lusi1240","Lusi","Austronesian","N Coast New Guinea"
"amar1272","Amara","Austronesian","N Coast New Guinea"
"nucl1310","Nuclear Burmese","Sino-Tibetan","Southeast Asia"
"makl1246","Maklew","Bulaka River","S New Guinea"
"kele1258","Kele (Papua New Guinea)","Austronesian","N Coast New Guinea"
"sobe1238","Sobei","Austronesian","N Coast New Guinea"
"thul1246","Thulung","Sino-Tibetan","Indic"
"mund1330","Mundurukú","Tupian","NE South America"
"dera1245","Dera (Indonesia)","Senagi","N Coast New Guinea"
"waiw1244","Waiwai","Cariban","NE South America"
"ngab1239","Ngäbere","Chibchan","Mesoamerica"
"bura1267","Burarra","Maningrida","N Australia"
"nkon1245","Nkonya","Atlantic-Congo","African Savannah"
"nort2745","Northern Yukaghir","Yukaghir","N Coast Asia"
"hata1243","Hatam","Hatam-Mansim","N Coast New Guinea"
"maka1318","Makah","Wakashan","Alaska-Oregon"
"huam1248","Huamalíes-Dos de Mayo Huánuco Quechua","Quechuan","African Savannah"
"band1344","Banda-Bambari","Atlantic-Congo","African Savannah"
"moru1253","Moru","Central Sudanic","African Savannah"
"thom1243","Thompson","Salishan","Alaska-Oregon"
"labu1248","Labu","Austronesian","N Coast New Guinea"
"achu1247","Achumawi","Palaihnihan","Basin and Plains"
"mend1266","Mende (Sierra Leone)","Mande","African Savannah"
"teri1250","Teribe","Chibchan","Mesoamerica"
"sans1272","San Salvador Kongo","Atlantic-Congo","S Africa"
"kash1277","Kashmiri","Indo-European","Indic"
"iban1264","Iban","Austronesian","Southeast Asia"
"goli1247","Golin","Nuclear Trans New Guinea","Interior New Guinea"
"ngiz1242","Ngizim","Afro-Asiatic","African Savannah"
"cent1989","Central Khmer","Austroasiatic","Southeast Asia"
"tlin1245","Tlingit","Athapaskan-Eyak-Tlingit","Alaska-Oregon"
"mand1415","Mandarin Chinese","Sino-Tibetan","Southeast Asia"
"boli1255","Bolia","Atlantic-Congo","S Africa"
"chra1242","Chrau","Austroasiatic","Southeast Asia"
"fass1245","Fas","Baibai-Fas","N Coast New Guinea"
"west2369","Western Farsi","Indo-European","Greater Mesopotamia"
"djee1236","Djeebbana","Maningrida","N Australia"
"diga1241","Digaro-Mishmi","Sino-Tibetan","Indic"
"hupd1244","Hupdë","Nadahup","NE South America"
"suri1267","Suri","Surmic","Greater Abyssinia"
"lako1247","Lakota","Siouan","Basin and Plains"
"wand1278","Wandala","Afro-Asiatic","African Savannah"
"osag1243","Osage","Siouan","E North America"
"huas1257","Huasteca Nahuatl","Uto-Aztecan","S Africa"
"chuj1249","Chujean","Mayan","African Savannah"
"unaa1239","Una","Nuclear Trans New Guinea","Interior New Guinea"
"bona1250","Bonan","Mongolic","Inner Asia"
"nias1242","Nias","Austronesian","Southeast Asia"
"bulg1262","Bulgarian","Indo-European","Europe"
"zagh1240","Beria","Saharan","African Savannah"
"lugb1240","Lugbara","Central Sudanic","S Africa"
"finn1318","Finnish","Uralic","Inner Asia"
"hunz1247","Hunzib","Nakh-Daghestanian","Greater Mesopotamia"
"masa1300","Masai","Nilotic","S Africa"
"saki1248","Sakirabia","Tupian","S Australia"
"rama1270","Rama","Chibchan","Mesoamerica"
"tulu1258","Tulu","Dravidian","Indic"
"laoo1244","Lao","Tai-Kadai","Southeast Asia"
"coas1294","Coastal Kadazan","Austronesian","Southeast Asia"
"murr1258","Murrinh-Patha","Southern Daly","N Australia"
"mund1320","Mundari","Austroasiatic","Indic"
"lahu1253","Lahu","Sino-Tibetan","Southeast Asia"
"bari1284","Bari (Nilotic)","Nilotic","African Savannah"
"kwin1241","Kwini","Worrorran","N Australia"
"tete1250","Tetela","Atlantic-Congo","S Africa"
"kewa1250","Kewa","Nuclear Trans New Guinea","African Savannah"
"itel1242","Itelmen","Chukotko-Kamchatkan","N Coast Asia"
"pipi1250","Pipil","Uto-Aztecan","Mesoamerica"
"akha1245","Akha","Sino-Tibetan","Southeast Asia"
"kaya1319","Kayardild","Tangkic","N Australia"
"budu1265","Buduma","Afro-Asiatic","African Savannah"
"kara1465","Karachay-Balkar","Turkic","Greater Mesopotamia"
"tuuu1240","Tu","Mongolic","Inner Asia"
"lada1244","Ladakhi","Sino-Tibetan","Indic"
"krah1246","Krahô","Nuclear-Macro-Je","NE South America"
"teke1274","Teke-Fuumu","Atlantic-Congo","S Africa"
"misi1242","Mising","Sino-Tibetan","Indic"
"cavi1250","Cavineña","Tacanan","NE South America"
"gbag1258","Gbagyi","Atlantic-Congo","Indic"
"hamt1247","Hamtai","Angan","Interior New Guinea"
"hida1246","Hidatsa","Siouan","Basin and Plains"
"pohn1238","Pohnpeian","Austronesian","Oceania"
"yucu1253","Yucuna","Arawakan","NE South America"
"pumi1242","Pumi","Sino-Tibetan","E North America"
"nort2959","Northern Tepehuan","Uto-Aztecan","Mesoamerica"
"noct1238","Nocte Naga","Sino-Tibetan","Southeast Asia"
"ndun1249","Ndunga","Atlantic-Congo","S Africa"
"mara1378","Marathi","Indo-European","Indic"
"tari1263","Tarifit","Afro-Asiatic","N Africa"
"lowl1265","Lowland Tarahumara","Uto-Aztecan","Mesoamerica"
"tamn1235","Tamnim Citak","Nuclear Trans New Guinea","N Coast New Guinea"
"sgaw1245","S'gaw Karen","Sino-Tibetan","Southeast Asia"
"lala1268","Lala (Papua New Guinea)","Austronesian","S New Guinea"
"idun1242","Iduna","Austronesian","S New Guinea"
"asut1235","Asu (Tanzania)","Atlantic-Congo","S Africa"
"kari1255","Karirí-Xocó","Unclassifiable","NE South America"
"hano1246","Hano","Austronesian","Oceania"
"fyam1238","Fyam","Atlantic-Congo","African Savannah"
"iwai1244","Iwaidja","Iwaidjan Proper","N Australia"
"shek1243","Shekhawati","Indo-European","Indic"
"hawa1245","Hawaiian","Austronesian","Oceania"
"lele1276","Lele (Chad)","Afro-Asiatic","African Savannah"
"kara1482","Kara (Central African Republic)","Central Sudanic","African Savannah"
"pala1344","Palauan","Austronesian","Oceania"
"miya1266","Miya","Afro-Asiatic","African Savannah"
"male1289","Maleu-Kilenge","Austronesian","N Coast New Guinea"
"futu1245","Futuna-Aniwa","Austronesian","Oceania"
"onei1249","Oneida","Iroquoian","E North America"
"opat1246","Opata","Uto-Aztecan","Mesoamerica"
"sanm1287","San Mateo del Mar Huave","Huavean","Mesoamerica"
"paiw1248","Paiwan","Austronesian","Southeast Asia"
"utes1238","Ute-Southern Paiute","Uto-Aztecan","Basin and Plains"
"kobo1249","Kobon","Nuclear Trans New Guinea","Interior New Guinea"
"lish1245","Lishanid Noshan","Afro-Asiatic","Greater Mesopotamia"
"siri1273","Sirionó","Tupian","NE South America"
"guib1245","Guibei Zhuang","Tai-Kadai","African Savannah"
"ixil1250","Ixilan","Mayan","African Savannah"
"tami1289","Tamil","Dravidian","Indic"
"tete1251","Tetelcingo Nahuatl","Uto-Aztecan","Mesoamerica"
"bong1291","Bongu","Nuclear Trans New Guinea","N Coast New Guinea"
"nort2836","North Efate","Austronesian","Oceania"
"west2560","West Coast Bajau","Austronesian","Southeast Asia"
"stan1318","Standard Arabic","Afro-Asiatic","N Africa"
"cent2004","Central Bai","Sino-Tibetan","Southeast Asia"
"pure1242","Purepecha","Tarascan","Mesoamerica"
"kore1280","Korean","Koreanic","N Coast Asia"
"meno1252","Menominee","Algic","E North America"
"momu1241","Momuna","Somahai","S New Guinea"
"furr1244","Fur","Furan","African Savannah"
"bats1242","Bats","Nakh-Daghestanian","Greater Mesopotamia"
"madi1260","Ma'di","Central Sudanic","S Africa"
"mwer1248","Mwera (Chimwera)","Atlantic-Congo","S Africa"
"wayu1241","Wayu","Sino-Tibetan","Indic"
"ngam1268","Ngambay","Central Sudanic","African Savannah"
"daga1275","Daga","Dagan","S New Guinea"
"thai1261","Thai","Tai-Kadai","Southeast Asia"
"auuu1241","Au","Nuclear Torricelli","N Coast New Guinea"
"paam1238","Paama","Austronesian","Oceania"
"apur1254","Apurinã","Arawakan","NE South America"
"egyp1253","Egyptian Arabic","Afro-Asiatic","N Africa"
"tauy1241","Tauya","Nuclear Trans New Guinea","Interior New Guinea"
"mari1424","Marithiel","Western Daly","N Australia"
"kwan1273","Kwangali","Atlantic-Congo","S Africa"
"puri1258","Purik","Sino-Tibetan","Indic"
"czec1258","Czech","Indo-European","Europe"
"xish1235","Xishanba Lalo","Sino-Tibetan","Southeast Asia"
"cerm1238","Cerma","Atlantic-Congo","African Savannah"
"mian1256","Mian","Nuclear Trans New Guinea","Interior New Guinea"
"iqui1243","Iquito","Zaparoan","NE South America"
"busa1253","Busa","Mande","African Savannah"
"naba1256","Nabak","Nuclear Trans New Guinea","N Coast New Guinea"
"male1292","Malecite-Passamaquoddy","Algic","E North America"
"cent1990","Central Nicobarese","Austroasiatic","Southeast Asia"
"tebu1238","Tebu","Saharan","African Savannah"
"tong1325","Tonga (Tonga Islands)","Austronesian","Oceania"
"naas1242","Naasioi","South Bougainville","Oceania"
"apuc1241","A-Pucikwar","Great Andamanese","Southeast Asia"
"kwak1269","Kwakiutl","Wakashan","Alaska-Oregon"
"kaba1278","Kabardian","Abkhaz-Adyge","Greater Mesopotamia"
"quio1240","Quiotepec Chinantec","Otomanguean","Mesoamerica"
"sons1242","Sonsorol","Austronesian","Oceania"
"kinn1249","Kinnauri","Sino-Tibetan","Indic"
"hopi1249","Hopi","Uto-Aztecan","Basin and Plains"
"kawa1283","Kawaiisu","Uto-Aztecan","California"
"nade1244","Nadëb","Nadahup","NE South America"
"abip1241","Abipon","Guaicuruan","SE South America"
"mann1248","Mann","Mande","African Savannah"
"kuku1273","Kuku-Yalanji","Pama-Nyungan","N Australia"
"chim1300","Chimalapa Zoque","Mixe-Zoque","Mesoamerica"
"pila1245","Pilagá","Guaicuruan","SE South America"
"yidi1250","Yidiny","Pama-Nyungan","N Australia"
"ikkk1242","Ik","Kuliak","S Africa"
"baou1238","Baoulé","Atlantic-Congo","African Savannah"
"khow1242","Khowar","Indo-European","Indic"
"nali1244","Nalik","Austronesian","N Coast New Guinea"
"maka1316","Makasae","Timor-Alor-Pantar","Oceania"
"chip1261","Chipewyan","Athapaskan-Eyak-Tlingit","E North America"
"khan1278","Khana","Atlantic-Congo","African Savannah"
"nucl1622","Nuclear Nuclear Marind","Anim","S New Guinea"
"peno1244","Peñoles Mixtec","Otomanguean","Mesoamerica"
"kach1279","Kachari","Sino-Tibetan","Indic"
"barc1235","Barclayville Grebo","Atlantic-Congo","NE South America"
"hueh1236","Huehuetla Tepehua","Totonacan","Mesoamerica"
"misk1235","Mískito","Misumalpan","Mesoamerica"
"wiyo1248","Wiyot","Algic","California"
"cakc1244","Cakchiquel-Tzutujil","Mayan","Oceania"
"biak1248","Biak","Austronesian","N Coast New Guinea"
"huaa1248","Amkoe","Tuu","S Africa"
"tuyu1244","Tuyuca","Tucanoan","NE South America"
"hupa1239","Hupa","Athapaskan-Eyak-Tlingit","California"
"ogbr1243","Ogbronuagum","Atlantic-Congo","African Savannah"
"mang1381","Mangarayi","Mangarrayi-Maran","N Australia"
"cupe1243","Cupeño","Uto-Aztecan","California"
"khar1287","Kharia","Austroasiatic","Indic"
"yoso1239","Yosondúa Mixtec","Otomanguean","Mesoamerica"
"indo1316","Indonesian","Austronesian","Southeast Asia"
"kaul1240","Kaulong","Austronesian","N Coast New Guinea"
"nung1290","Nunggubuyu","Gunwinyguan","N Australia"
"lama1277","Lamaholot","Austronesian","Oceania"
"dutc1256","Dutch","Indo-European","Europe"
"guja1252","Gujarati","Indo-European","Indic"
"sinh1246","Sinhala","Indo-European","Indic"
"kosr1238","Kosraean","Austronesian","Oceania"
"east2652","Eastern Oromo","Afro-Asiatic","S Africa"
"stan1289","Standard Catalan","Indo-European","Europe"
"wels1246","Welsh Romani","Indo-European","Europe"
"ewon1239","Ewondo","Atlantic-Congo","African Savannah"
"nucl1632","Nuclear Nuclear Sentani","Sentani","N Coast New Guinea"
"east2352","Eastern Magar","Sino-Tibetan","Indic"
"stan1290","Standard French","Indo-European","Europe"
"hebr1245","Hebrew","Afro-Asiatic","Greater Mesopotamia"
"nend1239","Nend","Nuclear Trans New Guinea","N Coast New Guinea"
"rawa1265","Rawang","Sino-Tibetan","Southeast Asia"
"east2379","Eastern Arrernte","Pama-Nyungan","S Australia"
"sich1238","Sichuan Yi","Sino-Tibetan","Southeast Asia"
"noon1242","Noon","Atlantic-Congo","African Savannah"
"acat1239","Acatepec Me'phaa","Otomanguean","N Coast Asia"
"masa1322","Masana","Afro-Asiatic","African Savannah"
"ndyu1242","Ndyuka","Indo-European","NE South America"
"gapa1238","Gapapaiwa","Austronesian","S New Guinea"
"dani1285","Danish","Indo-European","Europe"
"kire1240","Kire","Lower Sepik-Ramu","N Coast New Guinea"
"avar1256","Avar","Nakh-Daghestanian","Greater Mesopotamia"
"mina1276","Mina (Cameroon)","Afro-Asiatic","African Savannah"
"leti1246","Leti (Indonesia)","Austronesian","Oceania"
"tani1257","Tanimuca-Retuarã","Tucanoan","NE South America"
"paaa1242","Pa'a","Afro-Asiatic","African Savannah"
"gitx1241","Gitxsan","Tsimshian","Alaska-Oregon"
"manc1252","Manchu","Tungusic","Inner Asia"
"halk1245","Halkomelem","Salishan","Alaska-Oregon"
"kett1243","Ket","Yeniseian","Inner Asia"
"orok1269","Orokaiva","Nuclear Trans New Guinea","S New Guinea"
"cahu1264","Cahuilla","Uto-Aztecan","California"
"ntch1242","Ntcham","Atlantic-Congo","African Savannah"
"nava1243","Navajo","Athapaskan-Eyak-Tlingit","Basin and Plains"
"nucl1649","Nuclear Tsimshian","Tsimshian","Alaska-Oregon"
"nung1283","Nung (Viet Nam)","Tai-Kadai","Southeast Asia"
"darm1243","Darma","Sino-Tibetan","Indic"
"huns1239","Hun-Saare","Atlantic-Congo","African Savannah"
"gheg1238","Gheg Albanian","Indo-European","Oceania"
"kili1268","Kiliwa","Cochimi-Yuman","Mesoamerica"
"kuan1248","Kuanua","Austronesian","N Coast New Guinea"
"hdii1240","Hdi","Afro-Asiatic","African Savannah"
"dyir1250","Dyirbal","Pama-Nyungan","N Australia"
"muna1247","Muna","Austronesian","Oceania"
"shin1264","Shina","Indo-European","Indic"
"diml1238","Dimli","Indo-European","Greater Mesopotamia"
"baba1268","Babatana","Austronesian","Oceania"
"budu1250","Budu","Atlantic-Congo","S Africa"
"sahu1245","Sahu","North Halmahera","Oceania"
"bare1276","Baré","Arawakan","NE South America"
"suen1241","Suena","Nuclear Trans New Guinea","S New Guinea"
"coma1245","Comanche","Uto-Aztecan","Basin and Plains"
"nsen1242","Nsenga","Atlantic-Congo","S Africa"
"poko1263","Pökoot","Nilotic","S Africa"
"nzak1247","Nzakara","Atlantic-Congo","African Savannah"
"koyr1240","Koyra Chiini Songhay","Songhay","African Savannah"
